요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
치즈달걀볶음밥,1015,볶음,치즈 먹고싶은대로| 대파 1+1/2단| 밥 먹을만큼| 달걀 1~2개  굴소스 먹을만큼| 케찹 개성있게| 기름 조금,1인분,아무나,10분이내,치즈 달걀 대파 
치즈달걀식빵,9819,기타,식빵| 피자치즈/스트링치즈| 달걀| 종이컵| 소금쪼끔,1인분,아무나,10분이내,치즈 달걀 빵 
치즈달걀토스트,7883,굽기,식빵 2장| 달걀 1개| 베이컨(소) 1장| 양파 1/4개| 모짜렐라치즈 원하는만큼,1인분,초급,30분이내,베이컨 치즈 달걀 양파 빵 
치즈닭가슴살,2418,굽기,닭가슴살 1덩이| 사각치즈 1개| 소금| 후추| 보노스프 1개| 파슬리가루 약간,1인분,아무나,15분이내,치즈 닭 
치즈닭가슴살덮밥,672,굽기,닭가슴살 200g| 밥 1인분| 바베큐소스 90g| 치킨스톡 30g| 모짜렐라 치즈 200g,1인분,아무나,15분이내,치즈 닭 
치즈닭발,36722,볶음,오뚜기직화닭발 1팩| 물 3숟가락| 양파 1/4개| 대파 5cm| 마늘 2톨| 피자치즈 1/2컵,1인분,아무나,10분이내,치즈 닭 마늘 대파 양파 
치즈닭발핫도그,674,굽기,닭발 100g| 핫도그 2개| 피자치즈 80g,1인분,초급,10분이내,치즈 닭 
치즈덮빵,408,기타,모닝빵 2개| 모짜렐라치즈| 체다슬라이스치즈 2장| 꿀,1인분,아무나,5분이내,치즈 
치즈도리아,9413,굽기,남은 추석 나물 1C| 밥 1공기| 피자치즈 2/3C  시판 토마토소스 2/3C  시판 크림소스 1/2C  고추장 1+1/2T| 참기름 1T,1인분,아무나,15분이내,치즈 고추 
치즈돈가스,17207,튀김,돼지고기등심| 소금 조금| 후춧가루 조금| 달걀| 쌀가루| 빵가루| 파슬리가루| 롤치즈,1인분,중급,30분이내,치즈 달걀 돼지고기 
치즈돈까스,8879,튀김,돼지고기등심 250g| 모짜렐라 100g| 양배추 1/4개| 파인애플 슬라이스 2개| 밀가루 중력분 1컵| 달걀 1개| 빵가루 1컵| 우유 1T| 깨 1t| 파슬리 1/3t| 식용유 500mL| 폰즈소스 2T| 소금 1/2T| 후추 1/3t  시판 돈까스 소스 200mL| 토마토소스 100mL,1인분,고급,60분이내,양배추 달걀 우유 배추 배 돼지고기 
치즈돈까스덮밥,7318,굽기,돈까스 1개(치즈돈까스 or 일반돈까스)| 양파 1/2개| 청양고추 1개(선택사항)| 쯔유 1/2종이컵| 물 1/2종이컵| 달걀 1개| 쑥갓 3개| 밥 (소량),1인분,아무나,10분이내,치즈 달걀 양파 고추 
치즈돈까스라면,8616,끓이기,라면 1개| 돈까스 1개| 치즈 1개| 대파 1/4개  라면스프 1봉,1인분,아무나,15분이내,치즈 대파 라면 
치즈돼지고기롤,3110,굽기,돼지불고기(냉동육) 4장| 샐러리 줄기 1/4대| 스트링치즈 2개| 마스카포네치즈(크림치즈) 4t| 완숙 토마토 1개| 올리브오일 2t| 토마토소스 1컵| 아라비따소스(고추장) 1T(1/2t)| 매실액 1t| 흑후추 조금,1인분,아무나,15분이내,치즈 고추 
치즈두부구이,2409,굽기,두부| 소금| 모짜렐라치즈| 연두| 올리브오일,1인분,아무나,15분이내,치즈 두부 
치즈두부부침,813,굽기,두부 1모| 치즈 3장| 실파 약간| 통깨 약간| 소금 약간| 후추 톡톡| 들기름 약간| 아보카도유 약간,1인분,아무나,10분이내,치즈 두부 
치즈두부스팸달걀부침,1211,부침,두부 1/3모| 스팸 1/3캔| 굴소스 0.5T| 달걀 2개| 식용유| 체다슬라이스치즈 1장,1인분,초급,15분이내,치즈 달걀 스팸 두부 
치즈등갈비,6198,끓이기,등갈비 600g| 팽이버섯| 파| 모짜렐라치즈| 옥수수  매운갈비양념| 청량고추,1인분,초급,2시간이내,팽이버섯 치즈 고추 
치즈등갈비폭립,4459,굽기,돼지등갈비 450g| 드라이허브 1t| 소금 1/2T| 물 1.5L| 쪽파 1/2뿌리| 모짜렐라치즈 150g  통마늘 100g| 바베큐소스 250mL| 물 150mL,1인분,중급,60분이내,치즈 마늘 
치즈디핑소스,827,끓이기,버터 1큰술| 슬라이스치즈 2장| 우유 약간| 소금 약간,1인분,아무나,5분이내,치즈 우유 
치즈딥토스트,1846,굽기,우유식빵| 체다치즈2| 우유5큰술| 연유 1큰술| 버터 1/2스푼,1인분,아무나,5분이내,치즈 우유 빵 
치즈떡,203,기타,라이스페이퍼 5장| 치즈 5개  플레인요거트 5숟가락| 마요네즈 1숟가락| 설탕 1숟가락,1인분,초급,15분이내,치즈 
치즈떡갈비스테이크,389,굽기,식빵 2장| 슬라이스치즈 1장| 시판용 떡갈비 1개| 파슬리가루| 마가린 혹은 버터 1T| 밀가루 2T| 포도주 3T| 육수 혹은 생수 8T| 스테이크소스 1T,1인분,초급,30분이내,치즈 떡 빵 
치즈떡달걀말이,3275,부침,달걀 3개| 소금 약간| 모차렐라치즈 1장,1인분,초급,15분이내,치즈 달걀 
치즈떡꼬치,2543,굽기,떡볶이떡 15개| 슬라이스치즈 1장| 모짜렐라치즈 1/2줌| 꼬치막대(작은사이즈) 5개| 찍어먹을 꿀 적당량| 찍어먹을 연유 적당량,1인분,아무나,15분이내,치즈 떡 
치즈떡볶이,28179,볶음,치즈떡| 물| 깻잎  시판떡볶이양념| 치즈가루,1인분,초급,15분이내,깻잎 치즈 떡 
치즈또띠아,1435,굽기,또띠아 1장| 버터 0.5T| 달걀 1개| 마요네즈 2T| 파마산가루| 샐러리잎| 양파 1/3개| 체다치즈 1장,1인분,아무나,5분이내,치즈 달걀 양파 
치즈또띠아스틱,3069,굽기,베이컨 80g| 모짜렐라치즈 40g| 옥수수 통조림 90g| 또띠아 2장| 식용유 4T  케첩 10~15g,1인분,초급,10분이내,베이컨 치즈 
치즈또띠아피자,2939,굽기,또띠아 1장| 연유 취향껏| 체다치즈 2장,1인분,아무나,10분이내,치즈 
치즈라면,40316,끓이기,라면 1봉지| 모짜렐라 치즈 100g| 파슬리가루 약간| 물 1컵,1인분,아무나,10분이내,치즈 라면 
치즈라면그라탕,11231,굽기,라면 1개| 슬라이스치즈 3장| 우유 100ml  시판 크림스프 50g,1인분,초급,15분이내,치즈 우유 라면 
치즈라볶이,21520,볶음,라면사리 1개| 떡볶이떡 12개| 피자치즈 30g  고추장 1.5T| 고춧가루 1T| 다진마늘 0.2T| 물엿 1T| 설탕 0.5T| 고추기름 1T,1인분,아무나,10분이내,치즈 마늘 고추 라면 떡 
치즈라자냐,8007,굽기,라자냐면 4개| 모짜렐라치즈 100g  닭가슴살(100g) 1쪽| 양파 70g| 당근 10g| 토마토페이스트 4Ts| 물50g| 올리브오일 약간  버터 10g| 밀가루 10g| 물(우유로 대체 가능) 50g| 소금 약간| 후추 약간,1인분,중급,60분이내,당근 치즈 닭 우유 양파 
치즈롤돈가스,749,튀김,돼지고기 10장| 후추 톡톡| 소주 2T| 핑거 스트링 치즈 5개| 튀김가루 10T| 빵가루 10장 분량| 달걀 2개| 유산균 음료 3T| 튀김용식용유,1인분,초급,30분이내,치즈 달걀 돼지고기 
치즈롤빵,169,굽기,빵| 치즈,1인분,아무나,5분이내,치즈 
치즈롤샌드위치,70670,기타,달걀 2개| 당근 20g| 식빵 2장| 슬라이스치즈 1장  소금 약간| 기름 약간| 마요네즈 2작은술,1인분,초급,30분이내,당근 치즈 달걀 빵 
치즈리조또,14520,끓이기,토마토홀| 닭가슴살| 양파| 아기치즈  소금| 후추,1인분,중급,30분이내,치즈 닭 양파 
치즈마늘빵,492,굽기,식빵 2장| 체다치즈 2~3장  다진마늘 1스푼| 버터 2스푼| 꿀 2스푼,1인분,초급,5분이내,치즈 마늘 빵 
치즈마약옥수수,5684,굽기,찐 옥수수 1개| 체다치즈 4장| 마요네즈 1/2컵| 설탕 1큰술| 버터(또는 마아가린),1인분,초급,30분이내,치즈 
치즈마요밥버거,2211,기타,김가루 적당량| 자반 3~4밥스푼| 밥 5밥스푼| 치즈 1개| 달걀 1개  마요네즈 1밥스푼| 돈까스 소스 1/2밥스푼,1인분,초급,10분이내,치즈 달걀 
치즈만두밥,32344,기타,밥 1공기| 만두 5개| 진간장 1숟가락| 피자치즈 1/2종이컵,1인분,아무나,5분이내,치즈 
치즈매쉬고구마,1412,끓이기,고구마 2개| 물 1컵| 우유 1/2컵| 슬라이스치즈 3장| 파슬리 조금| 설탕 1T,1인분,아무나,30분이내,치즈 우유 고구마 
치즈멜트토스트,1665,굽기,식빵 3장| 체다슬라이스치즈 2장| 모짜렐라치즈 약간| 버터 적당량,1인분,초급,10분이내,치즈 빵 
치즈명란마요크림파스타,5467,볶음,스파게티면 100~150그램| 소금 1/2큰술| 양파 1/2개| 다진마늘 1작은술| 백명란 1~2개| 우유 1.5컵이상| (그라인드) 후추 약간| (명란)마요네즈 1큰술| 실파(쪽파)| 모짜렐라치즈| 버터| 올리브유,1인분,아무나,15분이내,치즈 마늘 우유 양파 
치즈무른밥,6351,끓이기,통조림 옥수수 3스푼| 치즈 1/2개| 브로컬리1조각| 당근 조금| 양파 1/4개,1인분,아무나,60분이내,당근 치즈 양파 
치즈무스비,206,기타,밥 1공기| 소금 약간| 참기름 약간| 깨 적당량| 스팸 2조각| 달걀 3개| 서울우유 고다치즈 1개| 김 1장,1인분,아무나,10분이내,치즈 달걀 우유 스팸 
치즈미니단호박찜,1930,기타,미니단호박 1개| 모짜렐라 치즈 50g| 파슬리가루 약간,1인분,초급,10분이내,치즈 
치즈미트롤,18433,굽기,다진 돼지고기 200g| 밥 1/2공기| 참기름 1큰술| 통깨 약간| 소금 약간| 체다치즈 2장  간장 1큰술| 설탕 1/2큰술| 마늘 1/2큰술| 후추 약간,1인분,초급,30분이내,치즈 마늘 돼지고기 
치즈밥,129963,볶음,밥 1공기| 스위트 콘 3T| 다진 김치 2T| 다진 양파 1T| 다진 햄 2T| 식용유 1T| 참기름 1T| 피자 치즈 1cup  고추장 1T| 케찹 1T| 올리고당 1T,1인분,아무나,30분이내,치즈 김치 양파 고추 
치즈밥말이,10583,볶음,밥 1공기| 다진 양파 2숟가락| 다진 김치 3숟가락| 다진 햄 2숟가락| 피자치즈 1종이컵  통깨 1/2숟가락,1인분,초급,30분이내,치즈 김치 양파 
치즈밥버거,4591,볶음,밥 1공기| 배추김치 1/2컵| 고기산적 적당량| 파 약간| 슬라이스치즈 1장| 달걀(선택) 1개| 식용유 약간| 돈가스소스 약간| 마요네즈 약간| 랩 적당량| 검은깨 (선택) 약간  간장 1/2T| 설탕 약간| 참기름 약간| 통깨 약간| 소금 약간,1인분,아무나,15분이내,치즈 달걀 김치 배추 배 
치즈버거떡볶이,5956,볶음,닭가슴살 200g| 두부 1/2모| 양파 1/2개| 떡볶이떡 6개| 모짜렐라치즈 원하는만큼| 양파 1/2개| 빵가루 3큰술| 감자전분 1+1/2큰술  간장 1큰술| 정종 1/2큰술| 머스타드 1작은술| 후추가루 조금| 케찹 2 + 1/2큰술| 고추장 1 + 1/2큰술| 칠리소스 2 + 1/2큰술| 간장 2큰술| 매실청 1큰술| 물엿 1 + 1/2큰술| 물 5큰술,1인분,초급,30분이내,치즈 닭 양파 고추 감자 떡 두부 
치즈버터고구마,38857,굽기,아이스 고구마 1개| 버터 2조각| 모차렐라치즈 약간,1인분,아무나,10분이내,치즈 고구마 
치즈범벅김치볶음밥,2428,볶음,김치 1인분량| 김치국물 2스푼| 모짜렐라치즈 취향껏  굴소스 1/2큰술| 올리고당 1/2큰술| 카놀라유 적당량,1인분,아무나,15분이내,치즈 김치 
치즈범벅떡볶이,1004,볶음,떡볶이떡 250g(양손가득)| 모짜렐라치즈 1/2컵| 슬라이스치즈 1개| 고추가루 2스푼| 설탕 4스푼| 다진마늘 1스푼| 고추장 3스푼| 케�y 4스푼| 물 50ml,1인분,초급,15분이내,치즈 마늘 고추 떡 
치즈범벅식빵,1100,굽기,우유식빵 1개| 체다치즈 2장| 햄| 우유 3큰술| 연유 1큰술| 무염 버터 1스푼,1인분,아무나,15분이내,치즈 우유 무 빵 
치즈베이글샌드위치,4607,굽기,베이글 1개| 샌드위치햄 3~4장| 체다치즈 2~3장| 파프리카 1/2개  홀 그레인 머스터드 1작은술| 마요네즈 2작은술| 꿀 약간(기호에맞게),1인분,아무나,10분이내,치즈 파프리카 
치즈베이컨달걀말이,14252,기타,달걀 2개| 슬라이스치즈 2장| 베이컨 4장| 소금 약간  당근(소) 1개| 잔멸치 1/2컵| 파(초록색부분만) 1대| 김 1/2장| 물 6큰술| 부침가루 5큰술| 검은깨 약간  소시지 6개| 가래떡 1/4개  간장 1큰술| 물 2큰술| 케찹 1큰술| 고추장 1/2작은술| 물엿 1+1/2큰술,1인분,중급,60분이내,베이컨 당근 치즈 달걀 고추 떡 
치즈베이컨그라탕,7837,굽기,베이컨 4줄| 밥 1공기| 당근 1/4개| 양파 1/4개| 쪽파 2줄| 모짜렐라치즈 70g| 간장 1숟가락| 소금 약간| 후추 약간| 식용유 약간,1인분,초급,15분이내,베이컨 당근 치즈 양파 
치즈베이컨말이,354,부침,가와지 1호 쌀밥 1공기| 양파 1/2개| 감자 1/2개| 당근 1/4개| 애호박 1/4개| 달걀 1개| 체다치즈 3장| 베이컨 6줄  굴소스 1큰술| 식용유 2큰술| 식용유 1큰술,1인분,아무나,30분이내,베이컨 당근 치즈 달걀 양파 감자 애호박 
치즈베이컨토스트,4863,굽기,식빵 2장| 체다 슬라이스치즈 1장| 달걀 1개| 베이컨 3장| 버터 1| 딸기잼| 케첩 적당량,1인분,아무나,30분이내,베이컨 치즈 달걀 빵 
치즈병아리콩,2695,끓이기,흙애서병아리콩| 모짜렐라치즈 기호대로| 꿀 1스픈,1인분,아무나,30분이내,치즈 
치즈볶음라면,8960,볶음,라면 1개| 양파| 파| 당근| 치즈,1인분,아무나,10분이내,당근 치즈 양파 라면 
치즈볶음밥,5180,볶음,당근 1/5개| 양파 1/4개| 햄 1/3개| 밥 1공기| 모짜렐라치즈 원하는만큼  케첩 1.5큰술| 굴소스 1/2큰술,1인분,아무나,15분이내,당근 치즈 양파 
치즈볶이,1519,기타,치즈볶이컵라면 1개| 슬라이스햄 3장,1인분,아무나,5분이내,치즈 라면 
치즈볼,24254,튀김,모짜렐라치즈 150g| 빵가루 종이컵으로 2컵정도| 달걀 2개| 파슬리가루 솔솔솔~,1인분,아무나,60분이내,치즈 달걀 
치즈부대찌개,26510,끓이기,스팸 1/2캔| 소세지 2개| 베이컨 2줄| 다진소고기 100g| 김치 150g| 양파 1/2개| 파 1뿌리| 팽이버섯 1/2팩| 청양고추 1개| 두부 1/4모| 슬라이스 체다치즈 1장| 스모크빈 2T| 라면사리 1/2개  물 500mL| 다시마 2조각  고춧가루 2T| 다진마늘 1/2T| 간장 1T| 후추 1/2t| 맛술 1T| 김칫국물 4T| 베이크빈 국물 1T,1인분,초급,30분이내,팽이버섯 베이컨 치즈 마늘 김치 양파 고추 소고기 라면 스팸 두부 
치즈불고기버거,286,기타,햄버거빵 1개| 소고기 우둔살 400g| 돼지고기 200g| 양파 1개| 달걀 2개| 양상추 1/4통| 치즈 1장  소금 0.5T| 후추 0.5T| 맛술 1T| 다진마늘 1T  스테이크소스 2T| 케찹 1T| 굴소스 1T| 마요네즈 1T,1인분,중급,15분이내,치즈 달걀 마늘 상추 양파 돼지고기 소고기 
치즈불닭떡볶이,2671,끓이기,불닭볶음면 1개| 떡사리 10개| 고추장 0.5T| 피자치즈 1큰술,1인분,아무나,10분이내,치즈 닭 고추 떡 
치즈불닭발,4250,볶음,시판 무뼈불닭발 1/2봉지| 양파 1/2개| 색깔별파프리카 각1/4개| 팽이버섯| 모짜렐라치즈| 파슬리가루  버터| 오일,1인분,아무나,60분이내,팽이버섯 치즈 닭 양파 파프리카 무 
치즈불닭볶음면,12284,볶음,불닭볶음면 1봉지| 물 300ml| 모짜렐라치즈 1장,1인분,아무나,10분이내,치즈 닭 
치즈불닭우동면,3373,볶음,목우촌 닭고기 (닭볶음탕용) 1팩| 목우촌 Real 뿌려먹는 자연치즈 1봉지| 우동면 사리 1개| 깻잎 5장| 마늘 3개| 대파 1개| 청양고추 2개  고추장 2T| 고춧가루 3T| 간장 3T| 설탕 1T| 올리고당 1T| 다진마늘 1T,1인분,초급,90분이내,깻잎 치즈 닭 마늘 대파 고추 
치즈불족덮밥,524,볶음,족발 적당량| 대파 1대| 식용유 조금| 양배추 적당량| 짜투리채소 적당량| 고춧가루 1큰술| 진간장 1큰술| 올리고당 1큰술| 양념치킨소스 2큰술| 굴소스 0.5큰술| 고추장 1큰술| 피자치즈 적당량| 깨 약간| 파슬리 약간| 밥 1인분,1인분,아무나,15분이내,양배추 치즈 대파 배추 배 고추 
치즈빙수,780,기타,우유 30ml| 연유 1ts| 팥빙수용 팥 약간| 치즈케익 약간| 수박 약간| 견과류 약간| 천연젤리 1개| 거봉(생략가능) 약간| 초코시럽 약간,1인분,아무나,5분이내,치즈 우유 
치즈빵,869,기타,후레시팡 4~5개| 고칼슘치즈 1개,1인분,아무나,5분이내,치즈 
치즈사과토스트,14780,굽기,사과 1/2개| 식빵 2장| 아가베시럽| 피자치즈| 계피| 파슬리,1인분,아무나,10분이내,사과 치즈 빵 
치즈살라미샌드위치,6688,기타,잡곡호밀빵 2쪽| 가우다치즈 1+1/2장| 살라미 3쪽| 상추 4장| 토마토 1개| 꿀 1스푼,1인분,아무나,10분이내,치즈 상추 
치즈새우,86,찜,새우| 치즈| 달걀| 후추| 식용유| 케첩| 머스터드,1인분,아무나,30분이내,치즈 달걀 새우 
치즈새우볶음밥,330,볶음,냉동새우 8마리| 빨간파프리카 1/4개| 노란파프리카 1/4개| 피망 1/4개| 양파 1/4개| 달걀 1개| 밥 1.5컵| 소금 3꼬집| 후추 3꼬집  진간장 3스푼| 굴소스 1스푼| 맛술 2스푼| 설탕 1/2스푼| 참기름 1스푼| 깨 1/2스푼,1인분,아무나,30분이내,달걀 양파 파프리카 새우 
치즈새우죽,10689,끓이기,새우 중하 3마리| 양파| 당근| 표고버섯 약간| 흰쌀 1/2컵| 아기치즈 1장  참기름 약간,1인분,초급,15분이내,표고버섯 당근 치즈 양파 새우 
치즈샌드,586,기타,우유 식빵 2장| 모짜렐라 치즈 적당량,1인분,아무나,15분이내,치즈 우유 빵 
치즈샌드위치,18451,기타,프랑스빵| 둥근햄| 가지 1개| 채소  허니머스터드소스| 홀그레인머스터드소스,1인분,초급,30분이내,가지 
치즈샌드토스트,1069,굽기,식빵 2장| 달걀 1알| 모짜렐라치즈 2장  버터 20g| 소금 약간| 꿀 원하는만큼,1인분,아무나,15분이내,치즈 달걀 빵 
치즈샐러드,9092,기타,큐브치즈 6개| 방울토마토 8개| 파프리카 1/5개| 어린잎채소 1줌  카놀라유 1T| 간장 2T| 레몬즙 1T| 마늘 2개| 후추 약간,1인분,아무나,5분이내,치즈 마늘 파프리카 
치즈소세지떡꼬치,1616,굽기,작은떡 13개| 비엔나소세지 13개| 체다치즈 1장  케�y| 머스타드소스| 식용유,1인분,아무나,10분이내,치즈 떡 
치즈소세지식빵롤,4975,기타,우유식빵 2| 그릴후랑크소세지 2| 체다치즈 1| 달걀 1| 버터 1/2큰술,1인분,아무나,10분이내,치즈 달걀 우유 빵 
치즈소시지토스트,507,굽기,식빵 3장| 소시지| 체다치즈 3장| 버터,1인분,아무나,30분이내,치즈 빵 
치즈송편,369,기타,설탕 2큰술| 슬라이스치즈 1장| 설탕 2큰술| 슬라이스 모짜렐라치즈 1장| 송편 1컵| 물 1/2컵| 고추장 2큰술| 고춧가루 1큰술| 설탕 2큰술| 치즈 1장,1인분,초급,10분이내,치즈 고추 
치즈순대,307,기타,순대 180g| 케첩 3스푼| 고춧가루 1/2스푼| 간장 2스푼| 다진 마늘 1/2스푼| 식초 1/3스푼| 설탕 1/2스푼| 고추 2개| 모짜렐라 치즈 1컵| 대파 조금,1인분,아무나,15분이내,치즈 마늘 대파 고추 
치즈스낵,17371,굽기,슬라이스치즈| 쿠킹시트,1인분,초급,5분이내,치즈 
치즈스크램블에그,3456,부침,달걀 3개| 슬라이스 치즈 2개,1인분,초급,5분이내,치즈 달걀 
치즈스크램블토스트,2624,굽기,달걀 2개| 우유 2큰술| 식빵 2장| 칵테일새우 7-8마리| 슬라이스치즈 3장  포도씨유 약간| 허니머스타드 적당량| 파슬리가루 약간,1인분,초급,30분이내,치즈 달걀 우유 새우 빵 
치즈스틱,554,튀김,스트링치즈 1개| 핫케이크가루| 시리얼| 우유  설탕,1인분,아무나,10분이내,치즈 우유 
치즈스틱나쵸,950,기타,치즈스틱 80g| 나쵸 45g| 레몬농축액 30g| 사이다 250ml  디핑치즈소스 15g| 미트칠리소스 15g,1인분,아무나,5분이내,치즈 
치즈스파게티,7323,볶음,파스타면| 모짜렐라치즈  토마토스파게티소스| 파마산치즈,1인분,아무나,15분이내,치즈 파스타 
치즈스팸달걀후라이,1696,굽기,달걀 4개| 치즈 4장| 통조림햄(큰것) 1캔| 후추 톡톡,1인분,아무나,10분이내,치즈 달걀 
치즈스프,21807,끓이기,브로콜리| 감자| 양파| 양송이버섯| 마늘빵 약간  버터 2큰술| 치킨육수 2컵| 우유 1컵| 생크림 1/2컵| 소금| 후추| 슬라이스치즈 1개| 피자치즈 약간| 파마산치즈가루,1인분,중급,30분이내,치즈 마늘 우유 양파 감자 
치즈식빵,1447,기타,식빵 1~2개| 피자치즈 적당량| 잼 적당량,1인분,아무나,5분이내,치즈 빵 
치즈식빵말이,10021,굽기,식빵 2장| 딸기쨈 1/2스푼| 치즈 1장,1인분,아무나,30분이내,치즈 빵 
치즈식빵토스트,12218,굽기,식빵 2장| 치즈 2장,1인분,초급,5분이내,치즈 빵 
치즈아보카도구이,129,굽기,체다슬라이스치즈 2장| 아보카도 1/2개| 후추,1인분,초급,10분이내,치즈 
치즈애호박말이,1981,부침,애호박 1개| 깻잎2장| 체다치즈 8장| 달걀 2개| 소금 1t| 카놀라유,1인분,중급,15분이내,깻잎 치즈 달걀 애호박 
치즈야채달걀말이,285,부침,달걀 2개| 당근 2cm| 피망 1/4개| 표고버섯 1/2개| 소금 2꼬집| 후춧가루 톡톡| 식용유 0.5T| 모짜렐라치즈 1봉| 케첩 약간,1인분,초급,10분이내,표고버섯 당근 치즈 달걀 
치즈야채수제비,484,끓이기,먹다남은 야채수제비육수 2국자| 수제비반죽 1주먹| 체다치즈 1장,1인분,아무나,15분이내,치즈 
치즈야채쌈,488,기타,3층 치즈 2장| 라이스페이퍼 3장| 베이컨 1줄| 올리브 3개| 채썬양파 1/5| 채썬당근 1/5,1인분,아무나,30분이내,베이컨 당근 치즈 양파 
치즈양배추샌드위치,11664,굽기,양배추| 식빵 2장| 딸기잼| 슬라이스치즈| 달걀,1인분,초급,30분이내,양배추 치즈 달걀 배추 배 빵 
치즈양파빵,457,굽기,서울우유 에멘탈치즈 1장| 서울우유 고다치즈 1장| 식빵 2장| 양파 1/4개  마요네즈 1큰술| 파슬리 3꼬집,1인분,아무나,15분이내,치즈 우유 양파 빵 
치즈에그그라탕,2184,굽기,비엔나 소시지 5개| 양파 1/2개| 피망 1/4개| 양송이버섯 2개| 달걀 1개  소금 약간| 후춧가루 약간| 모짜렐라 치즈 약간,1인분,아무나,30분이내,치즈 달걀 양파 
치즈에그버거,771,굽기,한우패티 1장| 달걀 1개| 체다치즈 1장| 상추 2잎| 치커리 2잎| 양파 1/4개| 베리류 과일 조금| 햄버거용 빵 1개  마요네즈 1/2스푼| 케찹 1/2스푼| 크림치즈 1/2스푼,1인분,초급,15분이내,치즈 달걀 상추 양파 빵 
치즈에그볼,1190,데치기,달걀 1개| 치즈 1조각| 파 1스푼| 버터 1티 스푼,1인분,아무나,5분이내,치즈 달걀 
치즈에그브래드,461,볶음,식빵자투리 식빵3개자투리| 달걀 2개| 치즈 1개  소금 소량,1인분,아무나,10분이내,치즈 달걀 빵 
치즈에그샌드위치,7923,굽기,식빵 2| 슬라이스 치즈 1| 크래미 2| 달걀 1| 파 약간| 소금 약간| 식용유 약간,1인분,아무나,10분이내,치즈 달걀 빵 
치즈에그토스트,392,굽기,식빵 1쪽| 달걀 1개| 치즈 2장| 베이컨 2장| 식용유 1큰술,1인분,아무나,10분이내,베이컨 치즈 달걀 빵 
치즈연어군만두,1148,굽기,CJ알래스카연어캔 1캔(100g)| 만두피 10장| 모짜렐라치즈 1봉(70g)| 대파(초록잎만) 1뿌리| 굴소스 1/2작은술| 마요네즈 1작은술,1인분,아무나,15분이내,치즈 대파 
치즈연어스테이크,2275,굽기,연어 200g| 치즈 1장  올리브오일 1T| 후추 1꼬집,1인분,초급,5분이내,치즈 
치즈연유또띠아,1287,굽기,또띠아1장| 체다치즈3장| 연유 취향껏,1인분,아무나,15분이내,치즈 
치즈오므라이스,27033,볶음,쌀밥 1주걱| 달걀 1개| (식용유) 카놀라유 1T| 모짜렐라 치즈 2T  진간장 1/2T| 들기름 1/2T| 참깨 1T| 토마토 케�y (약간) 데코,1인분,초급,10분이내,치즈 달걀 
치즈오믈렛,94813,기타,달걀 2개| 식빵 1개| 쨈 적당량| 양파 다진 것 1큰술| 다진 햄이나 구운 베이컨 2큰술| 다진 버섯 1큰술| 다진 파프리카 1큰술| 피자치즈 2큰술| 식용유 약간,1인분,초급,15분이내,베이컨 치즈 달걀 양파 파프리카 빵 
치즈오믈렛베이글,5387,부침,블루베리 베이글 1개| 달걀 2개| 우유 2큰술| 소금| 후추| 파슬리가루| 모짜렐라치즈 조금| 버터| 올리브유 약간,1인분,초급,15분이내,치즈 달걀 우유 
치즈오븐스파게티,14221,볶음,스파게티 1인분| 올리브유 2 큰술| 편마늘 약간| 다진 소고기 60g| 양파 1/4개| 시판 토마토소스 적당량| 피자치즈 70g | 파르메산 치즈 약간| 파슬리 약간  소금 1꼬집| 미림 1 큰술| 후춧가루 약간,1인분,초급,30분이내,치즈 마늘 양파 소고기 
치즈오븐토마토스파게티,22510,볶음,스파게티면 80-100g| 마늘 6쪽| 양파 1/2개| 청량고추 2개| 양송이 버섯 1개| 새우 적당량| 오징어 적당량| 모짜렐라 치즈 적당량| 슬라이스 치즈 1장  토마토 페이스트 6큰술 정도| 소금 적당량| 후추 적당량,1인분,초급,30분이내,오징어 치즈 마늘 양파 고추 새우 
치즈옥수수,992,기타,옥수수콘 150g| 치즈 2장| 요플레 2스푼,1인분,아무나,5분이내,치즈 
치즈옥수수밥전,1595,부침,밥 60g| 달걀 1개| 캔옥수수 3T| 아기 치즈 1~2장  현미유 또는 식용유 약간,1인분,아무나,30분이내,치즈 달걀 
치즈주먹밥,4072,볶음,공깃 밥 1공기 | 쪽파| 햄| 노랑파프리카 2개 | 빨강파프리카 2개| 치즈 4장  소금| 후춧가루 적당량,1인분,아무나,60분이내,치즈 파프리카 
치즈주먹밥돈가스,430,튀김,밥 1/2공기| 돼지고기 150g| 모짜렐라치즈 1스푼| 당근 15g| 양파 15g| 달걀 1개| 튀김가루 3/1공기| 빵가루 3/2공기  간장 1스푼| 물 1스푼| 매실청 1/2스푼| 후추 약간| 겨자 약간,1인분,중급,60분이내,당근 치즈 달걀 양파 돼지고기 
치즈짜장밥,9004,굽기,밥| 피자치즈| 달걀  짜장소스 적당히,1인분,초급,30분이내,치즈 달걀 
치즈짜파게티,3582,비빔,짜파게티 1개| 슬라이스치즈 1개| 파마산 치즈가루 1/10통,1인분,아무나,10분이내,치즈 
치즈참치볶음밥,2447,볶음,밥| 당근| 파프리카| 애호박| 캔참치(매운맛)| 치즈| 캔옥수수  후추 약간| 소금 약간,1인분,초급,15분이내,당근 치즈 파프리카 애호박 
